flow_category;flow_id;flow_type;scaling_factor
;GoK_3.41;inlet;0,5
;Wernsdorf;inlet;0,5
;DaW_0.165;inlet;0,5
;MgS_8.576;inlet;0,5
;Borgsdorf;inlet;0,5
MHF;;WWTP;1
RUH;;WWTP;0,79
SCH;;WWTP;1
STA;;WWTP;1,92
WAS;;WWTP;1,15
BEE;;abstraction_WW;1,08
FRI;;abstraction_WW;1,17
JOH;;ww_discharge;1
JUN;;abstraction_WW;1
KAU;;abstraction_WW;1,31
KLA;;abstraction_WW;1,52
SPA;;abstraction_WW;1,16
STO;;abstraction_WW;1,11
TEG;;abstraction_WW;1,28
TIE;;abstraction_WW;0,86
WUH;;abstraction_WW;1,31
;;evaporation_potential;1
;;rain;1
